AC No,Constituency Name,Total Male Voters,Total Female Voters,Total Other Voters,Total Voters,Total Voted Male,Total Voted Female,Total Voted Other,Total Voted,Turnout (%)
150,Yelahanka,223529,215272,82,438883,138599,136423,18,275040,62.67
151,K.R. Pura,266236,244188,167,510591,137483,130679,44,268206,52.53
152,Byatarayanapura,262739,245937,123,508799,148769,144984,38,293791,57.74
153,Yeshwanthapura,287823,276266,83,564172,178107,178620,10,356737,63.23
154,Rajarajeshwarinagar,250503,235189,80,485772,129853,131511,26,261390,53.81
155,Dasarahalli,243448,213521,77,457046,116608,111832,7,228447,49.98
156,Mahalakshmi Layout,149379,142586,39,292004,78734,79673,12,158419,54.25
157,Malleshwaram,113763,113672,8,227443,61948,63330,0,125278,55.08
158,Hebbal,147155,141720,53,288928,79245,77870,13,157128,54.38
159,Pulakeshinagar (SC),120303,118714,38,239055,57568,65417,12,122997,51.45
160,Sarvagnanagar,184871,181800,65,366736,97990,96102,13,194105,52.93
161,C.V. RamanNagar (SC),142565,128529,117,271211,65509,63123,34,128666,47.44
162,Shivajinagar,97685,96360,10,194055,55844,54196,4,110044,56.71
163,Shantinagar,111931,108797,50,220778,59397,60112,5,119514,54.13
164,Gandhinagar,119277,112108,25,231410,67899,64362,19,132280,57.16
165,Rajajinagar,104899,102619,11,207529,59041,58412,6,117459,56.60
166,Govindarajanagar,152854,143484,42,296380,80423,80026,6,160455,54.14
167,Vijayanagar,158860,146804,171,305835,80734,77398,38,158170,51.72
168,Chamrajapet,117899,111960,39,229898,63908,60573,10,124491,54.15
169,Chickpet,112769,108420,19,221208,65299,63257,3,128559,58.12
170,Basavanagudi,118929,114656,2,233587,64253,63299,0,127552,54.61
171,Padmanabanagar,141867,137055,21,278943,80109,79076,4,159189,57.07
172,B.T.M Layout,143266,131717,45,275028,68425,65886,6,134317,48.84
173,Jayanagar,105582,104345,15,209942,60536,59461,0,119997,57.16
174,Mahadevapura,326692,280346,120,607158,174113,159632,8,333753,54.97
175,Bommanahalli,242406,210145,70,452621,111668,102710,4,214382,47.36
176,Bangalore South,366719,328920,103,695742,196631,184459,13,381103,54.78
177,Anekal,210826,191683,86,402595,127879,122962,22,250863,62.31
,Grand Total,5024775,4686813,1761,9713349,2706572,2635385,375,5342332,55.00
