Constituency,SN,Candidate,Party,Votes
Nippani,1,KAKASAHEB P. PATIL,Indian National Congress,44107
Nippani,2,RAJARAM URF RAJU POWAR,Janata Dal (Secular),611
Nippani,3,RAJESH BANAVANNA,Aam Aadmi Party,572
Nippani,4,JOLLE SHASHIKALA ANNASAHEB,Bharatiya Janata Party,73348
Nippani,5,UTTAM RAOSAHEB PATIL,Nationalist Congress Party,66056
Nippani,6,SHAKUNTALA ASHOK TELI,Kalyana Rajya Pragathi Paksha,646
Nippani,7,JAYARAM MIRAJKAR,Independent,371
Nippani,8,JITENDRA SUBHASH NERLE,Independent,289
Nippani,9,RAGHUNATH MALAKARI ARAGE,Independent,202
Nippani,10,SAMBHAJIDADA BAPUSO THORAVAT,Independent,291
Nippani,11,NOTA,None of the Above,919
Chikkodi-Sadalga,1,ARJUN BANDU MANE,Bahujan Samaj Party,1284
Chikkodi-Sadalga,2,GANESH PRAKASH HUKKERI,Indian National Congress,128349
Chikkodi-Sadalga,3,KATTI RAMESH VISHWANATH,Bharatiya Janata Party,49840
Chikkodi-Sadalga,4,SHRIKANT MUDAGOUD PATIL,Aam Aadmi Party,406
Chikkodi-Sadalga,5,SUHAS SADASHIVAPPA WALKE,Janata Dal (Secular),702
Chikkodi-Sadalga,6,APPASAHEB SHRIPATI KURANE,Indian Movement Party,167
Chikkodi-Sadalga,7,ISHWAR MARUTI GUDAJ,Bahujan Bharat Party,196
Chikkodi-Sadalga,8,KUMAR SAMBHAJI DONGARE,Karnataka Rashtra Samithi,147
Chikkodi-Sadalga,9,MANJUNATH BALU PARAGOUD,Karnataka Rajya Ryota Sangha,434
Chikkodi-Sadalga,10,DR. MILAN VITHAL KAMBLE,Independent,690
Chikkodi-Sadalga,11,MOHAN GURAPPA MOTANNAVAR,Independent,663
Chikkodi-Sadalga,12,NOTA,None of the Above,957
Athani,1,MAHESH. IRANGOUDA. KUMATHALLI.,Bharatiya Janata Party,55282
Athani,2,LAXMAN. SANGAPPA. SAVADI,Indian National Congress,131404
Athani,3,SHASHIKANT PADASALAGI,Janata Dal (Secular),1265
Athani,4,SAMPATHKUMAR.SHETTI,Aam Aadmi Party,292
Athani,5,BASAVARAJ. BHIMAPPA. BISANAKOPPA,Kalyana Rajya Pragathi Paksha,935
Athani,6,BHARATESH BUJABALI KUDARI,Uttama Prajaakeeya Party,224
Athani,7,SAGAR KUMBAR,Karnataka Rashtra Samithi,76
Athani,8,SANJEEV HARISHCHANDRA KAMBLE,Azad Mazdoor Kissan Party,90
Athani,9,JYOTIBA BAVUSAB JADHAV,Independent,157
Athani,10,PAIGAMBAR GUDUSAB KOTTALAGI,Independent,104
Athani,11,RAVI SHIVAPPA PADASALAGI,Independent,110
Athani,12,DAVARI RAJU. PARASHURAM,Independent,250
Athani,13,RAJESH. BABU. SHINGE,Independent,1053
Athani,14,NOTA,None of the Above,1037
Kagwad,1,BHARAMGOUDA ALAGOUDA KAGE,Indian National Congress,83387
Kagwad,2,MALLIKARJUN SHRISHAIL GUNJIGANVI,Janata Dal (Secular),887
Kagwad,3,RAJAK DASTAGEERSAHEB MULLA,Aam Aadmi Party,330
Kagwad,4,SHRIMANT BALASAHEB PATIL,Bharatiya Janata Party,74560
Kagwad,5,SANJAY SHANKAR KAMBALE,Bahujan Samaj Party,632
Kagwad,6,VINOD SUKHADEV NANGARE,Karnataka Rashtra Samithi,113
Kagwad,7,SATISH BHUPAL SANADI,Rashtriya Samaj Paksha,72
Kagwad,8,HANAMANT BAHUSAB PATIL,Uttama Prajaakeeya Party,275
Kagwad,9,CHIDANAND KRISHNA CHAVAN,Independent,350
Kagwad,10,SATTEPPA DASHARATH KALELI,Independent,259
Kagwad,11,SADANAND B MAGADUM,Independent,228
Kagwad,12,NOTA,None of the Above,985
Kudachi,1,ANAND. V. MALAGI,Janata Dal (Secular),1566
Kudachi,2,KADROLLI CHANDRAKANT,Bahujan Samaj Party,369
Kudachi,3,MAHENDRA. KALLAPPA. TAMMANNAVAR,Indian National Congress,85321
Kudachi,4,P. RAJEEV,Bharatiya Janata Party,60078
Kudachi,5,C M KRISHNA,Dr. Ambedkar People's Party,609
Kudachi,6,SHREESHAIL. H. BHAJANTRI,Kalyana Rajya Pragathi Paksha,1240
Kudachi,7,YALLAPPA YAMANAPPA SHINGE,Independent,214
Kudachi,8,NOTA,None of the Above,643
Raybag,1,AIHOLE DURYODHAN MAHALINGAPPA,Bharatiya Janata Party,57500
Raybag,2,PRADEEPKUMAR R MALAGI,Janata Dal (Secular),25393
Raybag,3,MAHAVEER LAXMAN MOHITE,Indian National Congress,22685
Raybag,4,SHANKAR SUBRAV KHATEDAR,Aam Aadmi Party,1057
Raybag,5,BASAVARAJ NASALAPURE,Bharatiya Rashtravadi Paksha,245
Raybag,6,ASHOK NEELAPPA DANDINAVAR,Independent,291
Raybag,7,BASAVANNI PUNDALIK DODDALING,Independent,320
Raybag,8,BHIMSEEN DATTU SANADI,Independent,288
Raybag,9,YAMANAPPA HANAMANTH KUDARI,Independent,719
Raybag,10,SHAMBHU KALLOLIKAR,Independent,54930
Raybag,11,NOTA,None of the Above,1860
Hukkeri,1,A.B.PATIL,Indian National Congress,61023
Hukkeri,2,KATTI NIKHIL UMESH,Bharatiya Janata Party,103574
Hukkeri,3,KAMBLE BASAVARAJ KADAPPA,Bahujan Samaj Party,624
Hukkeri,4,BASAVARAJ MALAGOUDA PATIL,Janata Dal (Secular),401
Hukkeri,5,MANJUNATH.B.GADDENNAVAR,Aam Aadmi Party,189
Hukkeri,6,GHATIGEPPA MALLAPPA MAGADUM,Bahujan Bharat Party,170
Hukkeri,7,PUNDALIK KEMPANNA KULLUR,Independent,754
Hukkeri,8,NOTA,None of the Above,1168
Arabhavi,1,ARVIND MAHADEVARAO DALWAI,Indian National Congress,23956
Arabhavi,2,IJAJAHMAD I KOTTALAGI,Aam Aadmi Party,454
Arabhavi,3,PRAKASH RAMAPPA KALASHETTI,Janata Dal (Secular),1217
Arabhavi,4,BASAVANTH IRAPPA VADER,Bahujan Samaj Party,704
Arabhavi,5,BALACHANDRA LAXMANRAO JARKIHOLI,Bharatiya Janata Party,115402
Arabhavi,6,GULAPPA BASALINGAPPA METI,Swayam Krushi Party,698
Arabhavi,7,SHIVANAND VENKATARAO DESAI,Karnataka Rashtra Samithi,273
Arabhavi,8,ASHOK PANDAPPA HANAJI,Independent,311
Arabhavi,9,GURUPUTRA KEMPANNA KULLUR,Independent,485
Arabhavi,10,BASAPPA SHIVAPPA NAGANUR,Independent,919
Arabhavi,11,BHIMAPPA GUNDAPPA GADAD,Independent,43862
Arabhavi,12,SIDDAPPA YALLAPPA HOSUR,Independent,556
Arabhavi,13,SUDHA ALLAMPRABHU HIREMATH,Independent,338
Arabhavi,14,NOTA,None of the Above,930
Gokak,1,J. M. KAREPPAGOL,Aam Aadmi Party,779
Gokak,2,KADADI MAHANTESH KALLAPPA,Indian National Congress,79901
Gokak,3,JARKIHOLI RAMESH LAXMANRAO,Bharatiya Janata Party,105313
Gokak,4,B. LOHIT,Bahujan Samaj Party,748
Gokak,5,JAGADEESH C. K.,Socialist Party (India),162
Gokak,6,SURESH PATTANSHETTI,Uttama Prajaakeeya Party,348
Gokak,7,HANAMANTH SHIVAPPA NAGANUR,Swayam Krushi Party,243
Gokak,8,PUNDALIK KEMPANNA KULLUR,Independent,295
Gokak,9,BHIMASHI NAIK,Independent,966
Gokak,10,SURESH BASAPPA MARALINGANNAVAR,Independent,575
Gokak,11,NOTA,None of the Above,1060
Yemkanmardi,1,BASAVARAJ HUNDRI,Bharatiya Janata Party,43079
Yemkanmardi,2,ASTAGI MARUTI MALLAPPA,Janata Dal (Secular),19567
Yemkanmardi,3,SATISH LAXMANARAO JARKIHOLI,Indian National Congress,100290
Yemkanmardi,4,MARUTI TIPPANNA NAIK,Independent,2052
Yemkanmardi,5,SHIVANAND LAXMAN SAMMAKKANAVAR,Independent,462
Yemkanmardi,6,NOTA,None of the Above,996
Belgaum Uttar,1,Asif (Raju) Sait,Indian National Congress,69184
